date,PM10,PM2_5
2020-01-31 17:46:25,0.5,0.5
2020-01-31 17:46:28,0.5,0.5
2020-01-31 17:47:25,0.5,0.4
2020-01-31 17:47:28,0.5,0.5
2020-01-31 17:47:31,0.5,0.5
2020-01-31 17:47:34,0.8,0.5
2020-01-31 17:47:37,1.1,0.5
2020-01-31 17:47:40,1.1,0.5
2020-01-31 17:47:43,1.1,0.6
2020-01-31 17:47:46,1.1,0.5
2020-01-31 17:47:49,1.2,0.6
2020-01-31 17:47:52,1.2,0.6
2020-01-31 17:47:55,1.2,0.6
2020-01-31 17:47:58,1.2,0.6
2020-01-31 17:48:01,1.2,0.6
2020-01-31 17:48:04,0.9,0.6
2020-01-31 17:48:07,0.6,0.5
2020-01-31 17:48:10,0.7,0.6
2020-01-31 17:48:13,1.3,0.6
2020-01-31 17:48:16,1.3,0.6
2020-01-31 17:48:19,1.2,0.6
2020-01-31 17:48:22,1.2,0.6
2020-01-31 17:48:25,1.1,0.6
2020-01-31 17:48:28,1.1,0.6
2020-01-31 17:48:31,1.1,0.7
2020-01-31 17:48:34,1.4,0.8
2020-01-31 17:48:37,1.6,0.8
2020-01-31 17:48:40,1.5,0.7
2020-01-31 17:48:43,0.8,0.7
2020-01-31 17:48:46,7.2,1.4
2020-01-31 17:48:49,17.9,2.8
2020-01-31 17:48:52,18.6,3.6
2020-01-31 17:48:55,18.6,3.5
2020-01-31 17:48:58,18.7,3.5
2020-01-31 17:49:01,18.7,3.5
2020-01-31 17:49:04,18.5,3.4
2020-01-31 17:49:07,18.3,3.4
2020-01-31 17:49:10,160.6,17.3
2020-01-31 17:49:13,400.2,119.5
2020-01-31 17:49:16,410.6,133.2
2020-01-31 17:49:19,408.7,138.8
2020-01-31 17:49:22,413.4,142.2
2020-01-31 17:49:25,415.9,143.9
2020-01-31 17:49:28,417.1,145.0
2020-01-31 17:49:31,417.7,145.7
2020-01-31 17:49:34,418.4,146.2
2020-01-31 17:49:37,418.6,146.4
2020-01-31 17:49:40,276.4,132.6
2020-01-31 17:49:43,39.0,30.5
2020-01-31 17:49:46,22.2,16.1
2020-01-31 17:49:49,14.3,9.2
2020-01-31 17:49:52,8.9,5.1
2020-01-31 17:49:55,7.4,3.5
2020-01-31 17:49:58,6.2,2.4
2020-01-31 17:50:01,5.5,1.7
2020-01-31 17:50:04,4.9,1.2
2020-01-31 17:50:07,4.7,1.1
2020-01-31 17:50:10,4.6,0.9
2020-01-31 17:50:13,2.4,0.8
2020-01-31 17:50:16,3.5,0.9
2020-01-31 17:50:19,2.6,0.9
2020-01-31 17:50:22,3.7,1.2
2020-01-31 17:50:25,2.8,1.4
2020-01-31 17:50:28,2.8,1.5
2020-01-31 17:50:31,3.7,1.5
2020-01-31 17:50:34,3.9,1.6
2020-01-31 17:50:37,4.1,1.7
2020-01-31 17:50:39,4.1,1.7
2020-01-31 17:50:42,4.8,1.8
2020-01-31 17:50:45,3.8,1.7
2020-01-31 17:50:48,4.6,1.6
2020-01-31 17:50:51,4.4,1.6
2020-01-31 17:50:54,4.2,1.3
2020-01-31 17:50:57,4.1,1.2
2020-01-31 17:51:00,3.1,1.0
2020-01-31 17:51:03,3.9,1.0
2020-01-31 17:51:06,3.9,1.0
2020-01-31 17:51:09,4.6,1.1
2020-01-31 17:51:12,4.2,1.1
2020-01-31 17:51:15,4.2,1.0
2020-01-31 17:51:18,3.5,1.0
2020-01-31 17:51:21,2.8,0.9
2020-01-31 17:51:24,2.7,0.9
